# GNUBANDS: Utility for SIESTA to transform bands output into Gnuplot format
#
#                                                  Emilio Artacho, Feb. 1999
# --------------------------------------------------------------------------
# E_F               =    -2.9465
# k_min, k_max      =     0.0000    2.1339
# E_min, E_max      =   -22.4181   21.1234
# Nbands, Nspin, Nk =      8     1   901
#
#        k            E
# --------------------------------------------------------------------------
      0.890775    -16.746100
      0.892278    -16.745600
      0.893781    -16.745200
      0.895284    -16.744700
      0.896788    -16.744300
      0.898291    -16.744000
      0.899794    -16.743700
      0.901297    -16.743400
      0.902800    -16.743200
      0.904303    -16.743000
      0.905806    -16.742900
      0.907309    -16.742800
      0.908813    -16.742800
      0.910316    -16.742900
      0.911819    -16.743000
      0.913322    -16.743200
      0.914825    -16.743500
      0.916328    -16.743900
      0.917831    -16.744300
      0.919334    -16.744800
      0.920838    -16.745400
      0.922341    -16.746100
      0.923844    -16.746900
      0.925347    -16.747800
      0.926850    -16.748800
      0.928353    -16.749900
      0.929856    -16.751100
      0.931359    -16.752400
      0.932863    -16.753800
      0.934366    -16.755400
      0.935869    -16.757100
      0.937372    -16.758900
      0.938875    -16.760900
      0.940378    -16.762900
      0.941881    -16.765200
      0.943384    -16.767600
      0.944888    -16.770100
      0.946391    -16.772800
      0.947894    -16.775600
      0.949397    -16.778600
      0.950900    -16.781800
      0.952403    -16.785100
      0.953906    -16.788600
      0.955409    -16.792300
      0.956913    -16.796100
      0.958416    -16.800200
      0.959919    -16.804400
      0.961422    -16.808700
      0.962925    -16.813300
      0.964428    -16.818000
      0.965931    -16.823000
      0.967434    -16.828100
      0.968938    -16.833400
      0.970441    -16.838900
      0.971944    -16.844500
      0.973447    -16.850400
      0.974950    -16.856400
      0.976453    -16.862600
      0.977956    -16.869000
      0.979459    -16.875600
      0.980963    -16.882300
      0.982466    -16.889200
      0.983969    -16.896300
      0.985472    -16.903600
      0.986975    -16.911000
      0.988478    -16.918600
      0.989981    -16.926300
      0.991484    -16.934200
      0.992988    -16.942300
      0.994491    -16.950500
      0.995994    -16.958800
      0.997497    -16.967300
      0.999000    -16.975900
      1.000503    -16.984700
      1.002006    -16.993600
      1.003509    -17.002600
      1.005013    -17.011700
      1.006516    -17.021000
      1.008019    -17.030400
      1.009522    -17.039800
      1.011025    -17.049400
      1.012528    -17.059100
      1.014031    -17.068900
      1.015534    -17.078800
      1.017038    -17.088700
      1.018541    -17.098800
      1.020044    -17.108900
      1.021547    -17.119200
      1.023050    -17.129500
      1.024553    -17.139800
      1.026056    -17.150300
      1.027559    -17.160800
      1.029063    -17.171400
      1.030566    -17.182000
      1.032069    -17.192700
      1.033572    -17.203400
      1.035075    -17.214200
      1.036578    -17.225100
      1.038081    -17.236000
      1.039584    -17.246900
      1.041088    -17.257900
      1.042591    -17.268900
      1.044094    -17.279900
      1.045597    -17.291000
      1.047100    -17.302100
      1.048603    -17.313300
      1.050106    -17.324500
      1.051609    -17.335700
      1.053113    -17.346900
      1.054616    -17.358200
      1.056119    -17.369400
      1.057622    -17.380700
      1.059125    -17.392000
      1.060628    -17.403300
      1.062131    -17.414700
      1.063634    -17.426000
      1.065138    -17.437400
      1.066641    -17.448700
      1.068144    -17.460100
      1.069647    -17.471500
      1.071150    -17.482800
      1.072653    -17.494200
      1.074156    -17.505600
      1.075659    -17.517000
      1.077163    -17.528400
      1.078666    -17.539800
      1.080169    -17.551200
      1.081672    -17.562500
      1.083175    -17.573900
      1.084678    -17.585300
      1.086181    -17.596700
      1.087684    -17.608000
      1.089188    -17.619400
      1.090691    -17.630700
      1.092194    -17.642000
      1.093697    -17.653400
      1.095200    -17.664700
      1.096703    -17.676000
      1.098206    -17.687200
      1.099709    -17.698500
      1.101213    -17.709800
      1.102716    -17.721000
      1.104219    -17.732200
      1.105722    -17.743400
      1.107225    -17.754600
      1.108728    -17.765800
      1.110231    -17.777000
      1.111734    -17.788100
      1.113238    -17.799200
      1.114741    -17.810300
      1.116244    -17.821400
      1.117747    -17.832500
      1.119250    -17.843500
      1.120753    -17.854500
      1.122256    -17.865500
      1.123759    -17.876500
      1.125263    -17.887400
      1.126766    -17.898400
      1.128269    -17.909300
      1.129772    -17.920100
      1.131275    -17.931000
      1.132778    -17.941800
      1.134281    -17.952600
      1.135784    -17.963400
      1.137288    -17.974100
      1.138791    -17.984900
      1.140294    -17.995600
      1.141797    -18.006200
      1.143300    -18.016900
      1.144803    -18.027500
      1.146306    -18.038100
      1.147809    -18.048600
      1.149313    -18.059200
      1.150816    -18.069700
      1.152319    -18.080100
      1.153822    -18.090600
      1.155325    -18.101000
      1.156828    -18.111400
      1.158331    -18.121700
      1.159834    -18.132100
      1.161338    -18.142300
      1.162841    -18.152600
      1.164344    -18.162800
      1.165847    -18.173000
      1.167350    -18.183200
      1.168853    -18.193300
      1.170356    -18.203400
      1.171859    -18.213500
      1.173363    -18.223600
      1.174866    -18.233600
      1.176369    -18.243500
      1.177872    -18.253500
      1.179375    -18.263400
      1.180878    -18.273300
      1.182381    -18.283100
      1.183884    -18.292900
      1.185388    -18.302700
      1.186891    -18.312400
      1.188394    -18.322200
      1.189897    -18.331800
      1.191400    -18.341500
      1.192903    -18.351100
      1.194406    -18.360600
      1.195909    -18.370200
      1.197413    -18.379700
      1.198916    -18.389200
      1.200419    -18.398600
      1.201922    -18.408000
      1.203425    -18.417300
      1.204928    -18.426700
      1.206431    -18.436000
      1.207934    -18.445200
      1.209438    -18.454400
      1.210941    -18.463600
      1.212444    -18.472800
      1.213947    -18.481900
      1.215450    -18.491000
      1.216953    -18.500000
      1.218456    -18.509000
      1.219959    -18.518000
      1.221463    -18.526900
      1.222966    -18.535800
      1.224469    -18.544600
      1.225972    -18.553500
      1.227475    -18.562200
      1.228978    -18.571000
      1.230481    -18.579700
      1.231984    -18.588400
      1.234991    -18.553700
      1.237997    -18.519000
      1.241003    -18.484100
      1.244009    -18.449200
      1.247016    -18.414200
      1.250022    -18.379200
      1.253028    -18.344100
      1.256034    -18.308900
      1.259041    -18.273700
      1.262047    -18.238500
      1.265053    -18.203200
      1.268059    -18.167900
      1.271066    -18.132600
      1.274072    -18.097300
      1.277078    -18.062000
      1.280084    -18.026800
      1.283091    -17.991700
      1.286097    -17.956600
      1.289103    -17.921600
      1.292109    -17.886700
      1.295116    -17.852000
      1.298122    -17.817500
      1.301128    -17.783200
      1.304134    -17.749200
      1.307141    -17.715500
      1.310147    -17.682200
      1.313153    -17.649400
      1.316159    -17.617000
      1.319166    -17.585300
      1.322172    -17.554200
      1.325178    -17.524000
      1.328184    -17.494700
      1.331191    -17.466500
      1.334197    -17.439600
      1.337203    -17.414200
      1.340209    -17.390400
      1.343216    -17.368500
      1.346222    -17.348800
      1.349228    -17.331500
      1.352234    -17.316900
      1.355241    -17.305300
      1.358247    -17.296800
      1.361253    -17.291700
      1.364259    -17.290000
      1.367266    -17.291800
      1.370272    -17.297100
      1.373278    -17.305700
      1.376284    -17.317400
      1.379291    -17.332100
      1.382297    -17.349500
      1.385303    -17.369300
      1.388309    -17.391300
      1.391316    -17.415100
      1.394322    -17.440600
      1.397328    -17.467600
      1.400334    -17.495800
      1.403341    -17.525100
      1.406347    -17.555400
      1.409353    -17.586500
      1.412359    -17.618200
      1.415366    -17.650600
      1.418372    -17.683500
      1.421378    -17.716800
      1.424384    -17.750500
      1.427391    -17.784500
      1.430397    -17.818800
      1.433403    -17.853300
      1.436409    -17.888000
      1.439416    -17.922900
      1.442422    -17.957900
      1.445428    -17.993000
      1.448434    -18.028100
      1.451441    -18.063400
      1.454447    -18.098600
      1.457453    -18.133900
      1.460459    -18.169200
      1.463466    -18.204500
      1.466472    -18.239800
      1.469478    -18.275000
      1.472484    -18.310200
      1.475491    -18.345400
      1.478497    -18.380500
      1.481503    -18.415600
      1.484509    -18.450500
      1.487516    -18.485400
      1.490522    -18.520300
      1.493528    -18.555000
      1.496534    -18.589700
      1.499541    -18.624200
      1.502547    -18.658700
      1.505553    -18.693000
      1.508559    -18.727300
      1.511566    -18.761400
      1.514572    -18.795500
      1.517578    -18.829400
      1.520584    -18.863200
      1.523591    -18.896900
      1.526597    -18.930400
      1.529603    -18.963800
      1.532609    -18.997100
      1.535616    -19.030300
      1.538622    -19.063400
      1.541628    -19.096300
      1.544634    -19.129100
      1.547641    -19.161700
      1.550647    -19.194200
      1.553653    -19.226600
      1.556659    -19.258900
      1.559666    -19.291000
      1.562672    -19.322900
      1.565678    -19.354700
      1.568684    -19.386400
      1.571691    -19.417900
      1.574697    -19.449300
      1.577703    -19.480600
      1.580709    -19.511700
      1.583716    -19.542600
      1.586722    -19.573400
      1.589728    -19.604000
      1.592734    -19.634500
      1.595741    -19.664900
      1.598747    -19.695100
      1.601753    -19.725100
      1.604760    -19.755000
      1.607766    -19.784700
      1.610772    -19.814300
      1.613778    -19.843800
      1.616785    -19.873000
      1.619791    -19.902100
      1.622797    -19.931100
      1.625803    -19.959900
      1.628810    -19.988600
      1.631816    -20.017100
      1.634822    -20.045400
      1.637828    -20.073600
      1.640835    -20.101600
      1.643841    -20.129400
      1.646847    -20.157100
      1.649853    -20.184700
      1.652860    -20.212100
      1.655866    -20.239300
      1.658872    -20.266300
      1.661878    -20.293200
      1.664885    -20.320000
      1.667891    -20.346500
      1.670897    -20.373000
      1.673903    -20.399200
      1.676910    -20.425300
      1.679916    -20.451200
      1.682922    -20.477000
      1.685928    -20.502600
      1.688935    -20.528000
      1.691941    -20.553300
      1.694947    -20.578400
      1.697953    -20.603300
      1.700960    -20.628100
      1.703966    -20.652700
      1.706972    -20.677200
      1.709978    -20.701400
      1.712985    -20.725600
      1.715991    -20.749500
      1.718997    -20.773300
      1.722003    -20.796900
      1.725010    -20.820400
      1.728016    -20.843600
      1.731022    -20.866800
      1.734028    -20.889700
      1.737035    -20.912500
      1.740041    -20.935100
      1.743047    -20.957600
      1.746053    -20.979800
      1.749060    -21.002000
      1.752066    -21.023900
      1.755072    -21.045700
      1.758078    -21.067300
      1.761085    -21.088700
      1.764091    -21.110000
      1.767097    -21.131100
      1.770103    -21.152000
      1.773110    -21.172800
      1.776116    -21.193400
      1.779122    -21.213800
      1.782128    -21.234100
      1.785135    -21.254200
      1.788141    -21.274100
      1.791147    -21.293900
      1.794153    -21.313400
      1.797160    -21.332800
      1.800166    -21.352100
      1.803172    -21.371200
      1.806178    -21.390100
      1.809185    -21.408800
      1.812191    -21.427300
      1.815197    -21.445700
      1.818203    -21.464000
      1.821210    -21.482000
      1.824216    -21.499900
      1.827222    -21.517600
      1.830228    -21.535100
      1.833235    -21.552500
      1.836241    -21.569700
      1.839247    -21.586700
      1.842253    -21.603600
      1.845260    -21.620200
      1.848266    -21.636700
      1.851272    -21.653100
      1.854278    -21.669200
      1.857285    -21.685200
      1.860291    -21.701100
      1.863297    -21.716700
      1.866303    -21.732200
      1.869310    -21.747500
      1.872316    -21.762600
      1.875322    -21.777600
      1.878328    -21.792400
      1.881335    -21.807000
      1.884341    -21.821500
      1.887347    -21.835700
      1.890353    -21.849800
      1.893360    -21.863800
      1.896366    -21.877500
      1.899372    -21.891100
      1.902378    -21.904500
      1.905385    -21.917800
      1.908391    -21.930800
      1.911397    -21.943700
      1.914403    -21.956500
      1.917410    -21.969000
      1.920416    -21.981400
      1.923422    -21.993600
      1.926428    -22.005600
      1.929435    -22.017500
      1.932441    -22.029200
      1.935447    -22.040700
      1.938453    -22.052000
      1.941460    -22.063200
      1.944466    -22.074200
      1.947472    -22.085000
      1.950478    -22.095700
      1.953485    -22.106200
